Date,Description,Amount
2024-01-15,Shell Fuel Station - Diesel,89.50
2024-01-16,British Gas - Office Heating,245.30
2024-01-20,Ryanair Flight London-Milan,156.80
2024-01-22,Hilton Hotel Milan - Business Trip,320.00
2024-01-25,Office Depot - Printing Paper,45.20
2024-02-01,Enel Energia - Electricity Bill,178.90
2024-02-05,Uber Business Trip,28.50
2024-02-10,Microsoft Office 365 Subscription,89.99
2024-02-15,BP Fuel Station - Petrol,72.40
2024-02-20,Amazon Web Services,156.75
2024-02-25,WeWork Office Space Rental,890.00
2024-03-01,EDF Energy - Electricity,198.50
2024-03-05,Eurostar London-Paris,185.60
2024-03-10,Marriott Hotel Paris,280.00
2024-03-15,DHL Express Shipping,32.80
2024-03-20,Google Workspace,78.00
2024-03-25,Waste Management Services,125.40
2024-04-01,Total Fuel Station,95.80
2024-04-05,SSE Energy - Gas Bill,165.20
2024-04-10,Lufthansa Flight Paris-Berlin,210.40
